truck_id,route_id,stop_number,node_id,order_id,address,comuna,lat,lon,distance_from_previous_km,arrival,service_start,service_end,demand_g,demand_cm3,demand_kg,demand_m3,status
1,1,1,ORD-CL-202612-000093_134538869,ORD-CL-202612-000093,"calle catedral 2615, Providencia, Santiago, Chile",Providencia,-33.437648932906,-70.654065930895,0.3180,09:01,09:01,09:06,124317,937250,124.317000,0.937250,Entregado
1,1,2,ORD-CL-202612-000107_158151651,ORD-CL-202612-000107,"calle santo domingo 9121, Recoleta, Santiago, Chile",Recoleta,-33.437005365752,-70.658601544234,0.5232,09:07,09:07,09:12,319797,2219156,319.797000,2.219156,Entregado
1,1,3,ORD-CL-202612-000169_15815165  1,ORD-CL-202612-000169,"calle santo domingo 9121, Recoleta, Santiago, Chile",Recoleta,-33.437005365752,-70.658601544234,0.0000,09:12,09:12,09:17,97546,682211,97.546000,0.682211,Entregado
1,1,4,ORD-CL-202612-000027_7499276  7,ORD-CL-202612-000027,"calle compania de jesus 5241, Providencia, Santiago, Chile",Providencia,-33.438575327266,-70.651712720779,0.8495,09:19,09:19,09:24,278701,1718718,278.701000,1.718718,Entregado
1,1,5,ORD-CL-202612-000026_175731263,ORD-CL-202612-000026,"calle san antonio 1509, Providencia, Santiago, Chile",Providencia,-33.437621089834,-70.648432127502,0.3761,09:25,09:25,09:30,205491,1731742,205.491000,1.731742,Entregado
1,1,6,ORD-CL-202612-000119_6466103  7,ORD-CL-202612-000119,"calle san antonio 7911, Santiago, Santiago, Chile",Santiago,-33.437621089834,-70.648432127502,0.0000,09:30,09:30,09:35,123924,728827,123.924000,0.728827,Entregado
1,1,7,ORD-CL-202612-000170_137256512,ORD-CL-202612-000170,"calle san antonio 2929, Santiago, Santiago, Chile",Santiago,-33.437621089834,-70.648432127502,0.0000,09:35,09:35,09:40,140588,776806,140.588000,0.776806,Entregado
1,1,8,ORD-CL-202612-000088_79249631,ORD-CL-202612-000088,"calle monjitas 7974, Recoleta, Santiago, Chile",Recoleta,-33.435915093122,-70.641996798698,0.8751,09:42,09:42,09:47,161207,940815,161.207000,0.940815,Entregado
1,1,9,ORD-CL-202612-000155_22116046  1,ORD-CL-202612-000155,"calle monjitas 4798, Independencia, Santiago, Chile",Independencia,-33.435915093122,-70.641996798698,0.0000,09:47,09:47,09:52,60149,400367,60.149000,0.400367,Entregado
1,1,10,ORD-CL-202612-000085_15236104    9,ORD-CL-202612-000085,"calle teatinos 975, San Miguel, Santiago, Chile",San Miguel,-33.432359116103,-70.655731015577,1.4386,09:56,09:56,10:01,206310,1445278,206.310000,1.445278,Entregado
1,1,11,ORD-CL-202612-000103_22242242  0,ORD-CL-202612-000103,"calle teatinos 7628, Macul, Santiago, Chile",Macul,-33.444727838885,-70.654178327001,1.4253,10:04,10:04,10:09,28536,208250,28.536000,0.208250,Entregado
1,1,12,ORD-CL-202612-000089_172068824,ORD-CL-202612-000089,"calle san diego 6019, Macul, Santiago, Chile",Macul,-33.444107404651,-70.651651197417,0.2904,10:10,10:10,10:15,144740,653923,144.740000,0.653923,Entregado
1,1,13,ORD-CL-202612-000116_73802946,ORD-CL-202612-000116,"avenida. libertador bernardo o'higgins 4192, Providencia, Santiago, Chile",Providencia,-33.444087958636,-70.651120539127,0.0900,10:15,10:15,10:20,59343,408974,59.343000,0.408974,Entregado
1,1,14,ORD-CL-202612-000184_21805102  0,ORD-CL-202612-000184,"calle arturo prat 175, Peñalolén, Santiago, Chile",Peñalolén,-33.446405594198,-70.649794575814,0.6242,10:21,10:21,10:26,28967,226307,28.967000,0.226307,Entregado
