truck_id,route_id,stop_number,node_id,order_id,address,comuna,lat,lon,distance_from_previous_km,arrival,service_start,service_end,demand_g,demand_cm3,demand_kg,demand_m3,status
1,1,1,ORD-CL-202612-000030_20757511  0,ORD-CL-202612-000030,"avenida. vicuna mackenna 154, Recoleta, Santiago, Chile",Recoleta,-33.448822073217,-70.631656045901,0.6701,09:02,09:02,09:07,58504,418820,58.504000,0.418820,Entregado
1,1,2,ORD-CL-202612-000012_115652150,ORD-CL-202612-000012,"avenida. grecia 5499, Providencia, Santiago, Chile",Providencia,-33.455199088769,-70.6267947912,1.0229,09:09,09:09,09:14,41049,223935,41.049000,0.223935,Entregado
1,1,3,ORD-CL-202612-000038_151993937,ORD-CL-202612-000038,"avenida. irarrazaval 1804, Maipú, Santiago, Chile",Maipú,-33.453203592464,-70.61231562613,1.7472,09:18,09:18,09:23,82968,605934,82.968000,0.605934,Entregado
1,1,4,ORD-CL-202612-000046_76867734,ORD-CL-202612-000046,"avenida. manuel montt 4785, Providencia, Santiago, Chile",Providencia,-33.446828882884,-70.613882760803,0.9485,09:26,09:26,09:31,235991,1141774,235.991000,1.141774,Entregado
1,1,5,ORD-CL-202612-000251_16267073  3,ORD-CL-202612-000251,"avenida. manuel montt 1437, Providencia, Santiago, Chile",Providencia,-33.441209403538,-70.615503234144,0.6116,09:32,09:32,09:37,109290,605489,109.290000,0.605489,Entregado
1,1,6,ORD-CL-202612-000267_76488412,ORD-CL-202612-000267,"avenida. manuel montt 4025, Ñuñoa, Santiago, Chile",Ñuñoa,-33.438977791708,-70.61564591415,0.2831,09:38,09:38,09:43,108048,659033,108.048000,0.659033,Entregado
1,1,7,ORD-CL-202612-000245_193984732,ORD-CL-202612-000245,"avenida. manuel montt 6079, Recoleta, Santiago, Chile",Recoleta,-33.430496273257,-70.619214061417,1.6614,09:47,09:47,09:52,16872,73884,16.872000,0.073884,Entregado
1,1,8,ORD-CL-202612-000199_153064855,ORD-CL-202612-000199,"calle monjitas 3087, Recoleta, Santiago, Chile",Recoleta,-33.435915093122,-70.641996798698,2.8561,09:59,09:59,10:04,4792,20912,4.792000,0.020912,Entregado
1,2,1,ORD-CL-202612-000164_135946728,ORD-CL-202612-000164,"avenida macul 2271, Peñalolén, Santiago, Chile",Peñalolén,-33.508292173609,-70.589769523187,8.5660,10:31,10:31,10:36,447313,2996074,447.313000,2.996074,Entregado
1,2,2,ORD-CL-202612-000129_22759622  2,ORD-CL-202612-000129,"avenida. matta 5603, La Reina, Santiago, Chile",La Reina,-33.435425670582,-70.529612883216,11.5433,11:03,11:03,11:08,148967,727684,148.967000,0.727684,Entregado
