truck_id,route_id,stop_number,node_id,order_id,address,comuna,lat,lon,distance_from_previous_km,arrival,service_start,service_end,demand_g,demand_cm3,demand_kg,demand_m3,status
1,1,1,ORD-CL-202612-000237_22050970  7,ORD-CL-202612-000237,"calle san diego 439, Las Condes, Santiago, Chile",Las Condes,-33.45088479742,-70.65043893913,2.1411,09:05,09:05,09:10,98870,746338,98.870000,0.746338,Entregado
1,1,2,ORD-CL-202612-000104_191295278,ORD-CL-202612-000104,"calle san diego 3767, Lo Prado, Santiago, Chile",Lo Prado,-33.444107404651,-70.651651197417,0.9360,09:12,09:12,09:17,28998,258279,28.998000,0.258279,Entregado
1,1,3,ORD-CL-202612-000280_52383897,ORD-CL-202612-000280,"calle san diego 9579, Santiago, Santiago, Chile",Santiago,-33.444107404651,-70.651651197417,0.0000,09:17,09:17,09:22,58631,287125,58.631000,0.287125,Entregado
1,1,4,ORD-CL-202612-000211_214554757,ORD-CL-202612-000211,"calle teatinos 7534, Recoleta, Santiago, Chile",Recoleta,-33.444727838885,-70.654178327001,0.2915,09:23,09:23,09:28,183602,1678496,183.602000,1.678496,Entregado
1,1,5,ORD-CL-202612-000348_21466765  2,ORD-CL-202612-000348,"calle estado 8982, Santiago, Santiago, Chile",Santiago,-33.443432535717,-70.648928126622,0.5301,09:29,09:29,09:34,68773,407222,68.773000,0.407222,Entregado
1,1,6,ORD-CL-202612-000078_17126096    0,ORD-CL-202612-000078,"calle santo domingo 1055, Providencia, Santiago, Chile",Providencia,-33.436373629529,-70.652166431757,1.2825,09:37,09:37,09:42,99569,301533,99.569000,0.301533,Entregado
1,1,7,ORD-CL-202612-000264_12447358  7,ORD-CL-202612-000264,"avenida. las condes 7304, Puente Alto, Santiago, Chile",Puente Alto,-33.4035658315,-70.556518412174,10.5233,10:08,10:08,10:13,4860,11292,4.860000,0.011292,Entregado
1,2,1,ORD-CL-202612-000072_165086127,ORD-CL-202612-000072,"avenida. vitacura 8184, Recoleta, Santiago, Chile",Recoleta,-33.403382850953,-70.595707223231,7.4769,10:56,10:56,11:01,290306,2176776,290.306000,2.176776,Entregado
1,2,2,ORD-CL-202612-000398_15558134  2,ORD-CL-202612-000398,"avenida. vitacura 5063, Quinta Normal, Santiago, Chile",Quinta Normal,-33.397504040333,-70.583666583809,1.4841,11:04,11:04,11:09,139372,754496,139.372000,0.754496,Entregado
1,2,3,ORD-CL-202612-000476_107932141,ORD-CL-202612-000476,"calle huerfanos 7037, Ñuñoa, Santiago, Chile",Ñuñoa,-33.395502353974,-70.560930909902,2.7710,11:16,11:16,11:21,96716,633996,96.716000,0.633996,Entregado
2,1,1,ORD-CL-202612-000364_9084968  3,ORD-CL-202612-000364,"calle merced 3073, Ñuñoa, Santiago, Chile",Ñuñoa,-33.436855272203,-70.639351939537,2.4052,09:06,09:06,09:11,40509,323468,40.509000,0.323468,Entregado
2,1,2,ORD-CL-202612-000206_14073763  2,ORD-CL-202612-000206,"calle monjitas 403, Recoleta, Santiago, Chile",Recoleta,-33.435915093122,-70.641996798698,0.5780,09:12,09:12,09:17,328576,1937913,328.576000,1.937913,Entregado
2,1,3,ORD-CL-202612-000345_13168967    9,ORD-CL-202612-000345,"avenida. recoleta 6597, La Reina, Santiago, Chile",La Reina,-33.432921482452,-70.648005865816,0.7970,09:19,09:19,09:24,166241,1021811,166.241000,1.021811,Entregado
2,1,4,ORD-CL-202612-000388_148672511,ORD-CL-202612-000388,"calle catedral 3440, Independencia, Santiago, Chile",Independencia,-33.438297133888,-70.659944515034,1.6932,09:28,09:28,09:33,81165,436802,81.165000,0.436802,Entregado
2,2,1,ORD-CL-202612-000226_11169226  3,ORD-CL-202612-000226,"avenida. mapocho 4335, Las Condes, Santiago, Chile",Las Condes,-33.430863867508,-70.693867189804,7.6539,10:02,10:02,10:07,339295,2767387,339.295000,2.767387,Entregado
2,2,2,ORD-CL-202612-000366_228057551,ORD-CL-202612-000366,"avenida. mapocho 7470, Macul, Santiago, Chile",Macul,-33.422874822415,-70.740175932286,4.5354,10:18,10:18,10:23,96433,821937,96.433000,0.821937,Entregado
