id_nodo,Cluster,Latitud,Longitud,Atendido,Fecha
ORD-CL-202612-000001_145122404,Sin Cluster (Outlier),-33.4593631,-70.6984636,No,2026-12-02
ORD-CL-202612-000033_150229981,Sin Cluster (Outlier),-33.602323545217,-70.555843190191,No,2026-12-02
ORD-CL-202612-000042_71332179,Sin Cluster (Outlier),-33.509816421691,-70.590848385799,No,2026-12-02
ORD-CL-202612-000064_108254993,Sin Cluster (Outlier),-33.444727838885,-70.654178327001,No,2026-12-02
ORD-CL-202612-000100_21692042  6,Sin Cluster (Outlier),-33.4593631,-70.6984636,No,2026-12-02
ORD-CL-202612-000105_55046533,Sin Cluster (Outlier),-33.40748384033,-70.562677341208,No,2026-12-02
ORD-CL-202612-000113_107932141,Sin Cluster (Outlier),-33.395502353974,-70.560930909902,No,2026-12-02
ORD-CL-202612-000117_7656397  6,Sin Cluster (Outlier),-33.4593631,-70.6984636,No,2026-12-02
ORD-CL-202612-000130_96799897,Sin Cluster (Outlier),-33.459233303303,-70.64935681906,No,2026-12-02
ORD-CL-202612-000151_143106208,Sin Cluster (Outlier),-33.437005365752,-70.658601544234,No,2026-12-02
ORD-CL-202612-000157_207575110,Sin Cluster (Outlier),-33.448822073217,-70.631656045901,No,2026-12-02
ORD-CL-202612-000167_61636668,Sin Cluster (Outlier),-33.496690209233,-70.813523075054,No,2026-12-02
ORD-CL-202612-000174_88277359,Sin Cluster (Outlier),-33.478854919541,-70.743247378032,No,2026-12-02
ORD-CL-202612-000194_17602845    5,Sin Cluster (Outlier),-33.443156974986,-70.751213005374,No,2026-12-02
